"Kraj","Emigranci","Imigranci","HICP","Populacja","Wynagrodzenie minimalne","Bezrobocie aktywnych","Bezrobocie ogolu","Bezrobocie wsrod mlodych","Ceny nieruchomosci","Przyznane obywatelstwa","Wynagrodzenie srednie","PKB"
"Belgium",102936,150006,107.77,11522440,1593.81,5.4,3.2,13.4,113.78,40594,30188.71,118
"Bulgaria",39941,37929,104.99,6951482,286.33,4.2,2.7,7.5,131.42,736,6093.02,53
"Czechia",77798,105888,107.8,10693939,521.795,2,1.3,4.5,141.9,2934,11836.53,93
"Denmark",66520,61384,102.5,5822763,NA,5,3.5,8.3,117.51,1781,37407.94,130
"Germany (until 1990 former territory of the FRG)",576319,886341,105.5,83166711,1557,3.1,2.2,4.5,128.7,131980,31581.75,120
"Estonia",12801,18259,110.5,1328976,540,4.4,3.2,8.5,125.27,779,14169.6,84
"Ireland",62004,85630,101.7,4964440,1656.2,5,3.3,9.6,134.41,5791,36128.63,193
"Greece",95020,129459,102.46,10718565,721.045,17.3,10.3,32.8,NA,16328,15954.42,67
"Spain",296248,750480,104.26,47332614,1050,14.1,9.1,30.2,124.71,98954,21481.84,91
"France",299101,385591,104.95,67320216,1521.22,8.4,5.2,17.5,110.78,109821,28204.91,106
"Croatia",40148,37726,103.04,4058165,506.42,6.6,3.8,14.3,121.1,1121,9576.56,65
"Italy",179505,332778,103.2,59641488,NA,10,5.7,26.1,98.5,127001,21552.15,96
"Cyprus",17373,26170,100.78,888005,NA,7.1,4.9,15.1,108.2,2859,21321.53,90
"Latvia",14583,11223,108.53,1907675,430,6.3,4.4,11,140.88,1650,9144.05,69
"Lithuania",29273,40067,109.47,2794090,555,6.3,4.4,11.1,131.61,117,9795.27,84
"Luxembourg",15593,26668,105.93,626108,2089.75,5.6,3.7,13.5,131.99,5657,42650.78,260
"Hungary",49795,88581,109.46,9769526,462.47,3.4,2.2,9.9,170.17,3255,9562.1,73
"Malta",7998,28341,105.54,514564,761.97,3.6,2.4,7.2,124.65,770,19107.19,100
"Netherlands",107906,215756,105.78,17407585,1625.7,3.4,2.4,5.2,132.62,34191,37447.4,128
"Austria",68280,109167,106.98,8901064,NA,4.5,3.1,6.3,126.6,10500,32325.12,126
"Poland",180594,226649,104.8,37958138,526.275,3.3,2,9.1,122.52,6395,10258.87,73
"Portugal",28219,72725,103.71,10295909,700,6.5,4.4,16.3,141.46,21099,14056.33,79
"Romania",233736,202422,108.15,19328838,442.685,3.9,2.4,14,122.69,5732,7230.5,70
"Slovenia",15106,31319,105.11,2095861,886.63,4.5,2.9,6.5,129.69,1911,13298.17,89
"Slovakia",3384,7016,106.33,5457873,520,5.8,3.7,13.1,132.39,586,9975.02,70
"Finland",17263,32758,103.58,5525292,NA,6.7,4.5,13,104.49,9649,31970.67,111
"Sweden",47718,115805,106.93,10327589,NA,6.8,5,11.3,117.19,64206,32427.59,119
"Iceland",4590,9872,101.83,364134,NA,3.5,2.8,7.3,148.3,437,47254.37,126
"Liechtenstein",446,727,NA,38747,NA,NA,NA,NA,NA,112,NA,NA
"Norway",23207,48680,111.5,5367580,NA,3.7,2.6,7.2,120.18,13201,45690.05,147
"Switzerland",126221,145129,101.41,8606033,NA,4.4,3.4,7,NA,41127,67996.36,158
"United Kingdom",368385,680906,107.8,67025542,1485.195,3.8,2.6,8.9,116.67,159348,35889.67,104
"North Macedonia",NA,2118,105.42,2076255,NA,17.3,10.2,35.3,NA,NA,NA,38
"Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",NA,NA,NA,2959694,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan",NA,NA,NA,10067108,NA,NA,NA,NA,NA,NA,NA,NA
