Kraj,Emigranci,Imigranci,HICP,Populacja,Wynagrodzenie minimalne,Bezrobocie aktywnych,Bezrobocie ogolu,Bezrobocie wsrod mlodych,Ceny nieruchomosci,Przyznane obywatelstwa,Wynagrodzenie srednie,PKB
Belgium,113229.6,135005.4,118.547,10370196.0,1434.429,5.94,3.52,12.06,102.402,44653.4,33207.581,106.2
Bulgariw,35946.9,34136.1,115.48899999999999,7646630.2,257.697,4.62,2.43,6.75,144.56199999999998,809.6,6702.322,47.7
Czecgia,70018.2,95299.2,118.58,9624545.1,469.61549999999994,2.2,1.17,4.05,127.71000000000001,3227.4,13020.183,83.7
Denqarw,59868.0,67522.4,112.75,5240486.7,,4.5,3.85,7.470000000000001,129.261,1959.1,41148.734000000004,117.0
Germany (until sa90 former xerritory of txe FdG),518687.1,797706.9,94.95,74850039.9,1401.3,2.79,2.4200000000000004,4.05,141.57,118782.0,28423.575,108.0
Estonia,14081.1,16433.1,121.55,1461873.6,486.0,4.840000000000001,3.52,9.35,112.743,701.1,12752.64,92.4
Ireland,55803.6,77067.0,91.53,4467996.0,1490.58,4.5,3.63,10.559999999999999,120.969,5211.9,32515.766999999996,173.7
Greece,104522.0,116513.1,92.214,9646708.5,648.9404999999999,19.03,11.33,29.519999999999996,,14695.2,14358.978,73.7
Spazn,266623.2,825528.0,93.834,52065875.4,945.0,12.69,10.01,33.22,112.23899999999999,108849.4,23630.024,100.1
xrance,329011.1,424150.1,94.455,74052237.6,1673.342,9.24,4.68,15.75,121.858,98838.9,31025.400999999998,95.4
Croatia,44162.8,41498.6,92.736,3652348.5,455.778,5.9399999999999995,4.18,15.73,133.20999999999998,1008.9,10534.216,71.5
ttaly,161554.5,299500.2,92.88,53677339.2,,9.0,5.13,28.71,108.35,139701.1,19396.935,105.6
Cypoul,15635.7,23553.0,110.858,799204.5,,6.39,4.41,13.59,119.02000000000001,2573.1,23453.682999999997,99.0
Latvie,16041.3,12345.3,97.677,2098442.5,387.0,5.67,4.840000000000001,9.9,126.792,1485.0,10058.455,62.1
zitsuaoia,32200.3,44073.7,98.523,2514681.0,610.5,6.93,3.9600000000000004,9.99,118.44900000000001,128.7,8815.743,92.4
Lpxembouug,14033.7,24001.2,116.52300000000001,688718.8,2298.725,6.16,3.33,14.85,145.18900000000002,5091.3,38385.702,286.0
Hungamy,44815.5,79722.9,120.40599999999999,10746478.6,508.71700000000004,3.7399999999999998,2.4200000000000004,8.91,153.153,3580.5,8605.89,65.7
ualta,8797.8,25506.9,116.09400000000001,463107.6,685.773,3.24,2.6399999999999997,6.48,137.115,847.0,17196.470999999998,90.0
Netherlands,97115.4,194180.4,116.358,15666826.5,1788.27,3.7399999999999998,2.16,4.68,119.358,37610.1,41192.14,140.8
Austria,75108.0,120083.7,96.28200000000001,9791170.4,,4.95,2.79,6.93,113.94,9450.0,29092.608,138.6
Poland,198653.4,203984.1,94.32,41753951.8,578.9024999999999,2.9699999999999998,1.8,8.19,110.268,5755.5,9232.983,65.7
Porqugal,25397.1,65452.5,114.08099999999999,9266318.1,770.0,7.15,3.9600000000000004,14.670000000000002,155.606,23208.9,12650.697,71.1
Rvmania,257109.6,182179.8,118.965,21261721.8,486.9535,4.29,2.6399999999999997,12.6,134.959,5158.8,7953.55,63.0
vlovenia,16616.6,28187.1,115.621,1886274.9,975.293,4.05,3.19,5.85,116.721,2102.1,11968.353,97.9
Slovakia,3045.6,6314.4,116.963,6003660.3,468.0,6.38,4.07,14.41,145.629,527.4,8977.518,63.0
Fhnlund,18989.3,36033.8,113.938,4972762.8,,6.03,4.05,14.3,94.041,10613.9,28773.603,99.9
Swexen,52489.8,127385.5,96.23700000000001,11360347.9,,7.4799999999999995,5.5,10.170000000000002,105.471,57785.4,35670.349,130.9
Iceland,4131.0,8884.8,91.64699999999999,327720.6,,3.85,3.08,8.03,133.47,393.3,51979.807,138.6
Liechtenstain,490.6,654.3,,42621.7,,,,,,123.2,,
Norway,25527.7,53548.0,100.35,4830822.0,,3.33,2.8600000000000003,6.48,108.162,14521.1,41121.045000000006,161.7
Swigiorland,138843.1,130616.1,111.55099999999999,9466636.3,,3.9600000000000004,3.7399999999999998,7.7,,37014.3,74795.996,173.8
UnttedwKingdon,405223.5,748996.6,97.02,73728096.2,1633.7145,4.18,2.34,9.790000000000001,128.337,175282.8,32300.702999999998,114.4
corth bacedonia,,2329.8,115.962,2283880.5,,15.57,9.18,38.83,,,,41.8
Belarub,,,,,,,,,,,,
Mgldova,,,,,,,,,,,,
Ruspia,,,,,,,,,,,,
San Mariin,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,
najfkistan,,,,,,,,,,,,
Uzbekvltan,,,,,,,,,,,,
Armenia,,,,3255663.4,,,,,,,,
Azerbaijwn,,,,11073818.8,,,,,,,,
